address	balance	top_100_holdings_percent
34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo	24859747086242	1.264629
bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97	19401007608092	0.9869399
bc1ql49ydapnjafl5t2cp9zqpjwe6pdgmxy98859v2	13489481098310	0.6862173
bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt	9464330762512	0.4814557
37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs	9450534432477	0.4807539
1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF	7995726510903	0.406747
3E97AjYaCq9QYnfFMtBCYiCEsN956Rvpj2	7517738814162	0.3824315
bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6	6937017897025	0.3528899
3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb	6820000503963	0.3469372
bc1qjasf9z3h7w3jspkhtgatgpyvvzgpa2wwd2lr0eh5tx44reyn2k7sfc27a4	6646519999008	0.3381121
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6	6163847325439	0.3135583
bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr	5930009563192	0.3016628
1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC	5388006427095	0.2740908
1Ay8vMC7R1UbyCCZRVULMV7iQpHSAbguJP	5320514243687	0.2706575
1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA	5183040044360	0.2636641
3MgEAFWu1HKSnZ5ZsC8qf61ZW18xrP5pgd	5025329804761	0.2556413
bc1qs5vdqkusz4v7qac8ynx0vt9jrekwuupx2fl5udp9jql3sr03z3gsr2mf0f	4576558371060	0.232812
1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os	4400008677758	0.2238309
bc1q4j7fcl8zx5yl56j00nkqez9zf3f6ggqchwzzcs5hjxwqhsgxvavq3qfgpr	4015165184934	0.2042537
3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a	3792697785053	0.1929366
bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug	3600042301774	0.1831361
12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx	3232100057725	0.1644187
bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4	3164339891496	0.1609717
bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40	3137886636286	0.159626
3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B	3127535225903	0.1590994
12ib7dApVFvg82TXKycWBNpN8kFyiAN1dr	3100007403952	0.1576991
bc1qf2yvj48mzkj7uf8lc2a9sa7w983qe256l5c8fs	3017470410277	0.1535004
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7	2901788384617	0.1476156
12tkqA9xSoowkzoERHMWNKsTey55YEBqkv	2815105916201	0.143206
39eYrpgAgDhp4tTjrSb1ppZ5kdAc1ikBYw	2613938409009	0.1329725
17MWdxfjPYP2PYhdy885QtihfbW181r1rn	2449535056708	0.1246092
38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67	2406697201345	0.12243
19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C	2396900186386	0.1219316
bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9	2356298538803	0.1198662
bc1qhxf9ckyz7sw8h6vkvdlffntmsu6fz8m3pdzgvw	2271565374538	0.1155558
15cHRgVrGKz7qp2JL2N5mkB2MCFGLcnHxv	2267000619636	0.1153236
3G98jSULfhrES1J9HKfZdDjXx1sTNvHkhN	2230107892849	0.1134468
bc1qchctnvmdva5z9vrpxkkxck64v7nmzdtyxsrq64	2171983987626	0.11049
17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn	2000800227132	0.1017818
1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW	1941443150659	0.0987623
39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN	1940224767882	0.0987003
3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9	1920882545816	0.0977163
3HfD4pvF43jdu9dzVMEr1b8AnDHooRGc5t	1882956715228	0.095787
bc1qkz55x35wlnrkrn5n0nq4wwsme9vszrwavu5qf4	1850004678306	0.0941108
bc1qtrxc0use4hlm7fl0j6t37z7qlwl5eppj8lywz6	1805076347562	0.0918252
bc1qcdqj2smprre85c78d942wx5tauw5n7uw92r7wr	1788967861544	0.0910058
bc1qwwls0kmfmaw6kjvzfd73c9rnva2ummln8z98p4	1632004041401	0.0830209
34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP	1630662927476	0.0829527
1BAuq7Vho2CEkVkUxbfU26LhwQjbCmWQkD	1627700013942	0.082802
1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT	1589977979407	0.0808831
1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG	1574555972011	0.0800985
bc1qx2x5cqhymfcnjtg902ky6u5t5htmt7fvqztdsm028hkrvxcl4t2sjtpd9l	1559551021390	0.0793352
bc1qycswr89w8tcgh685yssej0xnu873p3mud74nm4	1527910664455	0.0777257
bc1q5vwscmf85w2vlq0qvr33dgpvu5rlrd42cqw6qn	1460634646031	0.0743033
bc1qvhxafz8dqk8c25jsx669yd6qrxhl5dx72dyryp	1459888794496	0.0742653
bc1qvkd5emvl2lxe9h6s26s846vyd6430x260nqxud	1448393738170	0.0736806
1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj	1400000120679	0.0712188
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE	1388613054669	0.0706395
bc1qcpflj68s3ahy4xajez4d8v3vk28pvf7qte2jmlftvxzfke2u6mqsge3gvh	1373999980000	0.0698961
bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa	1300302243343	0.0661471
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h	1296503821808	0.0659539
1KVpuCfhftkzJ67ZUegaMuaYey7qni7pPj	1292221186794	0.065736
1CiAnTJn6eHTU89PeihdMhT7KcQZxVZ4fy	1285797171458	0.0654092
3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ	1280323005120	0.0651307
bc1qkmk4v2xn29yge68fq6zh7gvfdqrvpq3v3p3y0s	1226702330673	0.062403
3A9qNS69dngSU2ak8BwZKEExeVnL2RqpYJ	1222251855182	0.0621766
bc1quhruqrghgcca950rvhtrg7cpd7u8k6svpzgzmrjy8xyukacl5lkq0r8l2d	1203628521316	0.0612292
1PJiGp2yDLvUgqeBsuZVCBADArNsk6XEiw	1194300874256	0.0607547
bc1qk7fy6qumtdkjy765ujxqxe0my55ake0zefa2dmt6sjx2sr098d8qf26ufn	1193340507741	0.0607059
1Cr7EjvS8C7gfarREHCvFhd9gT3r46pfLb	1139983298608	0.0579916
35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6	1128162797154	0.0573903
bc1qgrvchamnmmaancn3vwea6elnvexpylzh30rhjz	1111526710833	0.056544
bc1qtu66zfqxj6pam6e0zunwnggh87f5pjr7vdr5cd	1092212670017	0.0555615
1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC	1077053613443	0.0547903
bc1q7t9fxfaakmtk8pj7tdxjvwsng6y9x76czuaf5h	1065000037020	0.0541771
bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302	1050000471736	0.0534141
bc1q93njc4we4s088a2nz6c9e6vthc5h4ake53rxmd	1048630188032	0.0533444
1Q8QR5k32hexiMQnRgkJ6fmmjn5fMWhdv9	1021672035983	0.051973
1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr	1000926329188	0.0509177
bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq	1000174078785	0.0508794
12d1e4x5oprNf7au7BrTryx5D5mGCrXLY5	1000030971977	0.0508721
1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV	1000007831474	0.0508709
bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up	1000004388729	0.0508708
14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec	1000003562860	0.0508707
1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT	1000002523075	0.0508707
1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm	1000001684119	0.0508706
1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt	1000001281523	0.0508706
12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me	1000001135753	0.0508706
1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt	1000001042079	0.0508706
1CPaziTqeEixPoSFtJxu74uDGbpEAotZom	1000001032549	0.0508706
1GUfWdZQoo2pQ4BKHsiegxuZPnheY5ueTm	1000000848978	0.0508706
1DzsfLRDfbmQM99xm59au2SrTY3YmciBSB	1000000780264	0.0508706
12HnxiXEeKUVjQRbMVTytsGWnzHd5LdGCt	1000000758457	0.0508706
17uULjz9moeLyjXHoKNwDRgKzf8ahY3Jia	1000000751677	0.0508706
18qNs1yBGGKR8RyErnEF5kegbNUgPfixhS	1000000703462	0.0508706
1MewpRkpcbFdqamPPYc1bXa9AJ189Succy	1000000575626	0.0508706
1MtUMTqtdrpT6Rar5fgWoyrzAevatssej5	1000000574202	0.0508706
1NhJGUJu8rrTwPS4vopsdTqqcK4nAwdLwJ	1000000572686	0.0508706
1DP3VYwN6ozHXDDaETbvNFLd86CAXfaewi	1000000571090	0.0508706
1H2MXWiSniAgg7ykdXEzPHL6oTH1ic4kP	1000000311345	0.0508706